,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-1.478,29.33,29.78,29.79,29.31,29.77,3742880,3.24903,110327704,52.375,5.209,844704.0,337881.6
1,603998,方盛制药,-1.165,17.82,18.22,18.27,17.75,18.03,2803400,1.04147,50351054,27.844,8.442,771617.97504,479673.80604
2,603997,继峰股份,0.846,21.46,21.22,21.68,21.11,21.28,3676150,3.22469,78868431,48.773,6.191,901320.0,244644.0
3,603996,中新科技,-1.233,20.82,21.12,21.12,20.8,21.08,2620717,2.53761,54723334,28.917,4.668,624912.3,215018.55
4,603993,洛阳钼业,0.385,5.22,5.18,5.3,5.16,5.2,149412932,1.15344,780087887,104.4,0.989,8815117.720878,6761847.424878
5,603990,麦迪科技,-0.294,50.83,51.19,51.39,50.66,50.98,936090,4.68045,47695045,78.2,15.497,406640.0,101660.0
6,603989,艾华集团,-1.27,34.21,34.66,34.66,34.0,34.65,874174,1.03606,29961000,39.322,5.974,1026300.0,288646.875
7,603988,中电电机,-1.537,72.37,73.25,74.0,72.32,73.5,434800,1.94107,31764894,136.547,8.951,578960.0,162108.8
8,603987,康德莱,-0.033,29.99,30.06,30.29,29.64,30.0,3693938,7.0227,110781387,49.983,7.124,630659.71,157747.4
9,603986,兆易创新,0.0,177.97,0.0,0.0,0.0,177.97,0,0.0,0,84.748,14.389,1779700.0,444925.0
10,603979,金诚信,0.0,19.28,19.24,19.56,19.15,19.28,2955333,1.58,57134072,30.603,2.372,867600.0,360625.4592
11,603977,国泰集团,-0.553,26.99,27.14,27.32,26.68,27.14,4841021,8.75727,130768831,45.746,6.822,596694.92,149200.72
12,603969,银龙股份,0.344,14.57,14.55,14.69,14.48,14.52,2473554,1.6206200000000002,36085683,44.152,3.7640000000000002,582800.0,222382.6385
13,603968,醋化股份,-1.187,24.14,24.45,24.68,24.11,24.43,1348345,0.9870800000000001,32888467,42.351,4.002,493614.72,329752.4
14,603966,法兰泰克,10.003,33.54,31.3,33.54,30.66,30.49,17793796,44.48449,580556082,74.533,8.141,536640.0,134160.0
15,603959,百利科技,-0.405,27.08,27.16,27.36,27.0,27.19,1331643,2.37793,36167090,60.178,7.3870000000000005,606592.0,151648.0
16,603958,哈森股份,-1.756,27.41,27.9,27.98,27.31,27.9,2157451,3.96898,59454152,37.497,5.2,595783.76,148994.855886
17,603939,益丰药房,-0.923,28.99,29.31,29.31,28.86,29.26,456711,0.29275,13272492,50.505,3.63,1051451.813542,452267.192
18,603936,博敏电子,-0.53,30.02,30.18,30.37,29.98,30.18,1170836,2.08705,35278795,61.77,5.46,502384.7,168412.2
19,603929,亚翔集成,1.109,32.83,32.26,33.87,31.82,32.47,13973940,26.18804,460423976,65.66,7.911,700460.88,175180.88
20,603928,兴业股份,0.63,27.15,26.81,27.65,26.7,26.98,5864996,11.6369,159660841,37.708,7.279,547344.0,136836.0
21,603919,金徽酒,-0.952,28.1,28.38,28.48,28.09,28.37,1679042,2.39863,47356856,35.57,4.979,786800.0,196700.0
22,603918,金桥信息,2.074,32.49,31.73,32.97,31.73,31.83,4315605,3.49884,140193852,69.128,12.519,571824.0,400744.656
23,603909,合诚股份,-0.24,45.77,45.88,46.23,45.43,45.88,868915,3.47566,39802786,64.766,8.213,457700.0,114425.0
24,603901,永创智能,-0.552,14.42,14.5,14.59,14.39,14.5,2267265,1.47225,32825826,36.05,6.595,576800.0,222068.0
25,603900,通灵珠宝,-0.746,37.27,37.58,37.85,37.16,37.55,4158131,6.83915,155912347,37.646,5.814,906390.0012,226597.5003
26,603899,晨光文具,-0.785,17.69,17.79,17.9,17.5,17.83,1672110,0.74648,29650849,19.044,6.978,1627480.0,396256.0
27,603898,好莱客,0.058,34.41,34.4,34.82,34.09,34.39,1690018,1.93734,58438959,59.328,9.769,1031955.9,300172.194
28,603889,新澳股份,-0.615,16.17,16.25,16.33,15.9,16.27,3313200,2.33421,53538053,19.482,4.536,525783.72,229518.83955
29,603888,新华网,0.366,82.3,82.01,82.6,81.0,82.0,2461588,4.74268,201508007,48.988,10.959,1708644.65312,427161.16328
30,603887,城地股份,-0.227,48.35,48.47,48.99,48.28,48.46,460418,1.87162,22329128,63.618,7.009,474313.5,118941.0
31,603886,元祖股份,4.424,32.57,31.0,32.99,30.82,31.19,20522707,34.20631,659052130,50.891,11.357,781680.0,195409.724165
32,603885,吉祥航空,0.367,24.61,24.5,24.8,24.23,24.52,3731837,1.73574,91818401,25.371,4.135,3158892.976355,529115.0
33,603883,老百姓,-1.081,44.85,45.46,45.55,44.78,45.34,734332,0.87292,33079045,45.765,5.504,1197495.0,377292.735885
34,603881,数据港,10.009,51.66,47.5,51.66,46.96,46.96,29615204,56.2492,1486182535,112.304,20.696,1087889.900328,271989.9
35,603878,武进不锈,7.492,35.01,32.55,35.6,32.54,32.57,17583669,34.81915,604359210,38.9,4.398,707202.0,176800.5
36,603877,太平鸟,4.651,41.18,38.9,41.85,38.87,39.35,17492863,31.80521,712968860,32.172,9.577,1956050.0,226490.0
37,603869,北部湾旅,-1.979,29.23,29.82,29.9,29.2,29.82,1001613,1.37447,29591578,83.514,3.501,1019560.721364,213007.42824
38,603868,飞科电器,-0.46,45.42,45.76,45.8,45.32,45.63,1006904,2.30941,45922523,35.484,10.891,1978495.2,198031.2
39,603866,桃李面包,2.098,43.8,42.79,43.86,42.64,42.9,902378,1.52487,39233308,50.93,10.127,1971551.88,259196.7492
40,603861,白云电器,-1.392,28.33,28.8,28.94,28.31,28.73,1717400,3.49776,48899156,59.243,6.414,1158980.3,139100.3
41,603859,能科股份,9.387,70.15,64.2,70.54,63.69,64.13,5687400,20.03311,378654769,154.379,13.803,796623.4,199155.85
42,603858,步长制药,0.403,89.61,90.34,90.89,89.4,89.25,2027467,2.90468,182560320,15.506,6.52,6109609.8,625477.8
43,603843,正平股份,-0.106,18.87,18.87,19.07,18.61,18.89,5503572,5.52013,103592546,65.069,6.303,754805.661,188133.9
44,603839,安正时尚,1.074,43.3,42.45,44.99,42.0,42.84,25692705,36.05488,1126312958,37.982,7.616,1234223.2,308555.8
45,603838,四通股份,-6.202,24.2,25.66,25.69,23.24,25.8,37886770,38.9461,923232714,51.489,9.865,645365.6,235417.6
46,603828,柯利达,-1.606,25.12,25.5,25.88,25.08,25.53,4131264,7.51816,105676157,53.447,4.582,463494.144,138035.547984
47,603823,百合花,4.959,35.56,33.16,36.5,32.53,33.88,19057900,42.35089,662469316,49.389,9.559,800100.0,160020.0
48,603822,嘉澳环保,0.633,54.05,53.72,54.45,53.6,53.71,967836,5.27431,52375193,84.731,6.255,396456.75,99181.75
49,603819,神力股份,-1.181,39.32,39.11,40.0,38.88,39.79,2323958,7.74653,91536558,77.098,7.241,471840.0,117960.0
50,603818,曲美家居,-0.431,16.18,16.28,16.35,16.01,16.25,2626846,1.9959600000000002,42412763,62.231,5.8870000000000005,783306.16,212941.744
51,603817,海峡环保,9.974,12.46,12.46,12.46,12.46,11.33,109010,0.0969,1358265,49.84,4.702,560700.0,140175.0
52,603816,顾家家居,0.332,48.38,48.18,48.59,48.01,48.22,1363138,1.65229,65906159,32.04,12.077,1995675.0,399135.0
53,603808,歌力思,4.41,29.83,28.53,31.19,28.52,28.57,3298478,3.97222,98150492,27.62,4.557,741195.10815,247704.158715
54,603806,福斯特,1.878,48.29,47.48,48.82,47.33,47.4,2503079,2.7747200000000003,120763064,29.994,4.234,1941258.0,435624.09
55,603800,道森股份,-5.696,36.92,38.62,38.62,35.24,39.15,16000701,23.66968,579421011,208.588,8.269,767936.0,249579.2
56,603799,华友钴业,3.085,59.81,57.9,60.67,57.55,58.02,29021424,10.69827,1720157681,-127.255,13.101,3544798.935992,1622477.832
57,603798,康普顿,1.227,54.47,53.9,55.01,52.5,53.81,1457201,5.8288,78206735,49.072,7.2,544700.0,136175.0
58,603789,星光农机,-1.154,27.4,27.71,27.84,27.3,27.72,1668519,2.0856500000000002,46005058,63.236,4.967,552271.66,219200.0
59,603788,宁波高发,-1.446,38.18,38.72,38.93,38.13,38.74,1016114,2.07387,39063256,45.452,6.967,539865.2,187066.728
60,603779,威龙股份,-2.318,32.87,33.62,33.68,32.8,33.65,3747199,7.46454,124149856,117.393,8.731,658057.4,165007.4
61,603778,乾景园林,-1.944,23.2,23.59,23.7,23.18,23.66,2157319,2.3842600000000003,50398307,14.872,5.079,464000.0,209917.39784
62,603777,来伊份,-2.031,43.41,43.78,44.27,43.27,44.31,6725492,11.20915,293613198,59.466,5.727,1041840.0,260460.0
63,603766,隆鑫通用,-1.388,21.32,21.65,21.7,21.26,21.62,7054450,0.8544600000000001,151276043,22.442,3.079,1801734.90744,1760191.456868
64,603738,泰晶科技,-0.905,66.79,67.34,67.39,66.52,67.4,577670,3.46325,38637849,66.79,8.47,445355.72,111405.72
65,603737,三棵树,1.185,64.89,64.51,66.5,64.51,64.13,1406121,5.62448,92152707,42.136,7.246,648900.0,162225.0
66,603729,龙韵股份,-1.137,80.9,81.2,81.89,79.33,81.83,1103824,3.16927,88599377,124.462,6.63,539360.3,281765.91426
67,603727,博迈科,2.205,46.35,45.36,47.53,45.06,45.35,9282592,15.81361,431859912,37.08,7.322,1085262.075,272074.5
68,603726,朗迪集团,-0.673,45.78,46.24,46.4,45.61,46.09,536448,2.26541,24608180,53.233,5.976,433628.16,108407.04
69,603718,海利生物,-1.434,16.5,16.7,16.7,16.46,16.74,1298906,0.44346,21483484,43.421,10.985,1062600.0,483291.6
70,603716,塞力斯,-1.278,106.6,107.84,107.84,105.31,107.98,716840,5.62669,76228109,62.339,6.437,543020.4,135808.4
71,603708,家家悦,-0.067,29.91,29.7,30.48,29.51,29.93,11265118,12.5168,337702979,32.511,7.285,1076760.0,269190.0
72,603703,盛洋科技,-2.324,33.62,34.42,34.5,33.01,34.42,3591866,3.7447,120356146,80.048,15.106,772251.4,322478.8375
73,603701,德宏股份,-0.929,53.33,53.94,54.08,53.11,53.83,835491,4.26271,44655773,57.344,7.875,418107.2,104526.8
